wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.46,270.42,0.8356,0.8386,0.23113703456328105
0,271.46,270.204,0.9044,0.9104,0.24210387849061604
0,271.459,270.389,0.8754,0.8791,0.325742429881764
0,271.46,270.305,0.9413,0.9466,0.42758342553267437
0,271.46,270.502,0.8408,0.8438,0.2429296956656962
0,271.46,270.194,0.9009,0.907,0.25594535340814656
0,271.459,270.419,0.8881,0.8916,0.36793374903764287
0,271.46,270.263,0.9346,0.9403,0.4071113479118762
0,271.46,270.531,0.8374,0.8404,0.25078283613670316
0,271.46,270.19,0.8991,0.9052,0.2637749894204444
0,271.459,270.48,0.905,0.9083,0.39588651578265777
0,271.46,270.217,0.9244,0.9305,0.37736398260364146
0,271.46,270.547,0.8369,0.8399,0.2580647315851998
0,271.46,270.192,0.8987,0.9048,0.27360122977775286
0,271.459,270.496,0.9113,0.9146,0.3927317687487572
0,271.46,270.16,0.9076,0.9141,0.36865081347860895
0,271.46,270.551,0.8377,0.8406,0.2651403384438111
0,271.46,270.19,0.9,0.9062,0.2861087119454656
0,271.459,270.457,0.9104,0.9137,0.39223368836452815
0,271.46,270.14,0.8939,0.9006,0.4053848154058726
0,271.46,270.552,0.8365,0.8394,0.26818653668684006
0,271.46,270.193,0.9036,0.9097,0.2933410491860115
0,271.459,270.408,0.9051,0.9088,0.38729290838359687
0,271.46,270.142,0.8782,0.8847,0.4579692861476651
0,271.46,270.552,0.837,0.84,0.2678617570730066
0,271.46,270.217,0.9094,0.9153,0.30237955876879463
0,271.459,270.377,0.8979,0.9019,0.3622323627334513
0,271.46,270.245,0.868,0.8733,0.4877494863179578
0,271.46,270.549,0.8355,0.8385,0.26908057287656845
0,271.46,270.256,0.9176,0.9232,0.32509526698719743
0,271.459,270.4,0.8948,0.8986,0.3197335991393595
0,271.46,270.393,0.8576,0.861,0.527297548092366
0,271.46,270.547,0.8361,0.8391,0.27486975674669745
0,271.46,270.249,0.9233,0.9291,0.36463731243594916
0,271.459,270.471,0.9021,0.9053,0.2821800003059149
0,271.46,270.472,0.8473,0.8504,0.550713291490978
0,271.46,270.519,0.8343,0.8372,0.28269709839751594
0,271.46,270.254,0.929,0.9347,0.41380736541020635
0,271.459,270.528,0.909,0.9123,0.26362886408712455
0,271.46,270.493,0.8331,0.836,0.4580832394344655
0,271.46,270.466,0.84,0.843,0.2871731427143826
0,271.46,270.325,0.9385,0.9436,0.4674240438885858
0,271.459,270.547,0.9139,0.9172,0.2545504326146034
0,271.46,270.513,0.8261,0.829,0.27358853431090124
0,271.46,270.399,0.8463,0.8496,0.2945994809644476
0,271.46,270.378,0.9447,0.9492,0.5415117802715506
0,271.459,270.559,0.9192,0.9223,0.24781520702788415
0,271.46,270.539,0.82,0.8229,0.17009320206186623
0,271.46,270.35,0.8574,0.8614,0.30362779338510093
0,271.46,270.377,0.9437,0.9483,0.6540310911473337
0,271.459,270.59,0.9272,0.9299,0.24509210586693725
0,271.46,270.586,0.8179,0.8208,0.14789907868640156
0,271.461,270.322,0.8661,0.8704,0.3160783244023188
0,271.46,270.397,0.9446,0.949,0.8083932841490217
0,271.46,270.612,0.9296,0.9322,0.24734669841383145
0,271.469,270.642,0.8181,0.8205,0.1665468840021822
0,271.703,270.524,0.8714,0.8768,0.3206637332830273
0,271.46,270.448,0.9486,0.9524,1.0102447318911147
0,271.533,270.709,0.934,0.9363,0.26189396990817454
0,271.475,270.752,0.8211,0.8223,0.22934585204937466
0,272.29,271.054,0.8764,0.882,0.32154818414035374
0,271.771,270.76,0.946,0.9501,1.167566498243539
0,271.803,270.989,0.937,0.9389,0.29184558437386876
0,271.777,271.13,0.8226,0.8225,0.33494613349104946
0,272.917,271.622,0.8771,0.8838,0.32805932708927105
0,272.485,271.345,0.9293,0.9342,1.2932990368780373
0,272.403,271.569,0.9382,0.9406,0.322893138839461
0,272.449,271.804,0.82,0.8204,0.45083892052841695
0,273.407,272.072,0.8768,0.8832,0.33053397439492593
0,272.898,271.723,0.9224,0.928,1.4184946949264023
0,273.11,272.246,0.9393,0.9414,0.3618396700198335
0,273.128,272.429,0.8155,0.8153,0.5619698877802308
