DateTime,MODIS_filename,MODIS_SST,MODIS_pix,L8_filename,L8_LST,L8_pix,time_dif
2021-09-26 12:00:00,20210926100000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007112_20210926_20210930_02_T2_SW_LST.TIF,,0,0 days 00:25:00
2021-11-29 12:00:00,20211129100001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007112_20211129_20211208_02_T2_SW_LST.TIF,,0,0 days 00:24:59
2023-03-08 12:00:00,20230308120001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007112_20230308_20230320_02_T2_SW_LST.TIF,,0,0 days 00:00:01
2021-09-26 12:00:00,20210926100000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007113_20210926_20210930_02_T2_SW_LST.TIF,,0,0 days 00:25:00
2021-11-29 12:00:00,20211129100001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007113_20211129_20211208_02_T2_SW_LST.TIF,,0,0 days 00:24:59
2022-02-01 12:00:00,20220201113501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.0152831629178685,778475,LC08_L1GT_007113_20220201_20220211_02_T2_SW_LST.TIF,-2.4720325756853754,778475,0 days 00:24:59
2022-03-21 12:00:00,20220321081500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007113_20220321_20220329_02_T2_SW_LST.TIF,,0,0 days 00:30:00
2022-11-16 12:00:00,20221116121000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007113_20221116_20221128_02_T2_SW_LST.TIF,,0,0 days 00:10:00
2022-12-02 12:00:00,20221202114001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.7294208044605972,827467,LC08_L1GT_007113_20221202_20221212_02_T2_SW_LST.TIF,-3.3153324429051896,827467,0 days 00:19:59
2022-12-18 12:00:00,20221218111001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_007113_20221218_20230113_02_T2_SW_LST.TIF,,0,0 days 00:49:59
2023-02-04 12:00:00,20230204094501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.5085404405246978,281956,LC08_L1GT_007113_20230204_20230209_02_T2_SW_LST.TIF,-2.692982993650629,281956,0 days 00:39:59
2023-03-08 12:00:00,20230308120001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007113_20230308_20230320_02_T2_SW_LST.TIF,,0,0 days 00:00:01
2023-03-24 12:00:00,20230324081500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007113_20230324_20230404_02_T2_SW_LST.TIF,,0,0 days 00:29:59
2021-11-20 12:00:00,20211120100501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_008112_20211120_20211130_02_T2_SW_LST.TIF,,0,0 days 00:19:59
2021-12-22 12:00:00,20211222100501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.138059608866877,2281321,LC08_L1GT_008112_20211222_20211230_02_T2_SW_LST.TIF,-2.7778196211348316,2281321,0 days 00:19:59
2022-01-07 12:00:00,20220107065000-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.19184149491404617,2138114,LC08_L1GT_008112_20220107_20220114_02_T2_SW_LST.TIF,-1.4488342026840924,2138114,0 days 00:19:59
2022-01-23 12:00:00,20220123064501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.9947287672940753,186041,LC08_L1GT_008112_20220123_20220128_02_T2_SW_LST.TIF,-2.5668235020178987,186041,0 days 00:19:59
