DateTime,MODIS_filename,MODIS_SST,MODIS_pix,L8_filename,L8_SST,L8_pix,time_dif
2021-09-26 15:28:50,20210926131501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.6796666601365908,96349,LC08_L1GT_007112_20210926_20210930_02_T2_152850_Cel.tif,-2.963558854007053,96349,0 days 00:38:49
2021-10-28 15:28:57,20211028131501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007112_20211028_20211108_02_T2_152857_Cel.tif,,0,0 days 00:38:56
2021-11-29 15:28:53,20211129113501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.7934919105588831,27102,LC08_L1GT_007112_20211129_20211208_02_T2_152853_Cel.tif,-4.351501009460308,27102,0 days 00:38:52
2021-12-15 15:28:51,20211215113501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.220613005963903,454628,LC08_L1GT_007112_20211215_20211223_02_T2_152851_Cel.tif,-2.0819235630597572,454628,0 days 00:38:50
2022-02-01 15:28:39,20220201145001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-0.7489904777334713,417373,LC08_L1GT_007112_20220201_20220211_02_T2_152839_Cel.tif,-1.6607970464720065,417373,0 days 00:38:38
2022-03-21 15:28:22,20220321144501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007112_20220321_20220329_02_T2_152822_Cel.tif,,0,0 days 00:43:21
2022-09-13 15:29:08,20220913130500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_007112_20220913_20220922_02_T2_152908_Cel.tif,,0,0 days 00:49:08
2022-11-16 15:29:02,20221116152001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_007112_20221116_20221128_02_T2_152902_Cel.tif,,0,0 days 00:09:01
2022-12-02 15:29:05,20221202145501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.4591476399160634,491603,LC08_L1GT_007112_20221202_20221212_02_T2_152905_Cel.tif,-2.3604843520842764,491603,0 days 00:34:04
2023-01-19 15:28:49,20230119150501-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_007112_20230119_20230131_02_T2_152849_Cel.tif,,0,0 days 00:23:48
